name,latitude,longitude
升仙湖,30.705777021084245,104.08334200000002
火车北站,30.696579107260753,104.07393700000002
人民北路,30.68672826299453,104.07316300000001
文殊院,30.673898432157607,104.06808199999998
骡马市,30.66752237934417,104.06559999999998
天府广场,30.65825446607878,104.06578
锦江宾馆,30.651087533134955,104.06604200000001
华西坝,30.644272822531335,104.066277
省体育馆,30.63479394736162,104.06656
倪家桥,30.626176060823042,104.06689300000001
桐梓林,30.616589187008067,104.06711499999999
火车南站,30.60649231986719,104.06742099999997
高新,30.59561446295863,104.063972
金融城,30.583859617534713,104.064138
孵化园,30.576956708282868,104.06431799999997
锦城广场,30.569069811944228,104.06673100000003
世纪城,30.55613798186135,104.06852200000002
天府三街,30.547447096018313,104.06918100000003
天府五街,30.538421214544517,104.069472
华府大道,30.52694136524999,104.06976699999998
四河,30.516992785158315,104.07007
广都,30.512079560277137,104.07583899999999
犀浦,30.759482517444983,103.97113799999998
天河路,30.746720637195228,103.97616800000002
百草路,30.73407775578466,103.97924200000001
金周路,30.722437864927205,103.99575400000003
金科北路,30.721531873420766,104.006886
迎宾大道,30.71443089751376,104.01355499999998
茶店子客运站,30.707167993362,104.01340399999997
羊犀立交,30.695267150372768,104.012648
一品天下,30.690238216704216,104.019732
蜀汉路东,30.684201296317976,104.02895900000001
白果林,30.674659312536416,104.03331600000001
中医大省医院,30.667442517255555,104.04048799999998
通惠门,30.66346856962971,104.04838499999998
人民公园,30.660170448149834,104.05680600000001
春熙路,30.65439550218628,104.079832
东门大桥,30.649220550600752,104.087247
牛王庙,30.64593758131081,104.09456499999999
牛市口,30.639073891002038,104.10771
东大路,30.634529950837784,104.11278900000002
塔子山公园,30.630892998724313,104.12269299999997
成都东客站,30.63039000534666,104.14066
成渝立交,30.62625305980941,104.147288
惠王陵,30.613897222433994,104.152077
洪河,30.605944955178273,104.157449
成都行政学院,30.59841042618387,104.17023799999997
大面铺,30.594244064479607,104.20069099999999
连山坡,30.58908954876778,104.21279699999997
界牌,30.58408361458964,104.22532900000003
书房,30.57705270702097,104.24224599999998
龙平路,30.573941254044378,104.258846
龙泉驿,30.561034374495197,104.268563
军区总医院,30.746136478856968,104.11424899999999
熊猫大道,30.7265188266659,104.108352
动物园,30.714705893884258,104.10351899999999
昭觉寺南路,30.70461802700898,104.09714200000002
驷马桥,30.696255137340092,104.09332000000002
李家沱,30.690624211613294,104.094798
前锋路,30.680372346806124,104.09219799999998
红星桥,30.672320452959063,104.09064100000002
市二医院,30.662073588013218,104.08402
新南门,30.645871801470427,104.07540699999998
磨子桥,30.63769265842381,104.076114
衣冠庙,30.63543367954829,104.05230600000003
高升桥,30.641270862068875,104.04269600000002
红牌楼,30.636030931073392,104.02974199999998
太平园,30.626115766668363,104.021455
万盛,30.676657395785668,103.81892299999998
杨柳河,30.681757246079798,103.83099900000003
凤溪河,30.68740325409292,103.84307600000001
南熏大道,30.690965207115834,103.851638
光华公园,30.6847360000,103.8609840000
涌泉,30.680154349680432,103.87326
凤凰大街,30.678398277530928,103.88961299999998
马厂坝,30.678700368850883,103.91374300000003
非遗博览园,30.675432411935244,103.92222099999998
蔡桥,30.670341352957884,103.94518200000002
中坝,30.674683421809277,103.96406399999996
成都西站,30.684766288867557,103.976859
清江西路,30.677421286678232,103.998775
文化宫,30.673160326569356,104.009725
西南财大,30.67171046099992,104.02030999999998
草堂北路,30.67002935587833,104.028113
宽窄巷子,30.666677527338145,104.05066899999998
太升南路,30.665727396144522,104.07653700000003
玉双路,30.654327502822476,104.09945900000001
双桥路,30.64829276958084,104.11322999999997
万年场,30.64566080424965,104.11884699999997
槐树店,30.64983454485686,104.13934399999998
来龙,30.6477355644922,104.16462199999997
十陵,30.646727573921204,104.17250700000001
成都大学,30.647720564632493,104.18095599999997
明蜀王陵,30.649589752495782,104.196372
西河,30.64877276325799,104.22032899999999
簇锦,30.612041898210048,104.00787899999997
华兴,30.599743408650344,104.000929
金花,30.592740500756147,103.97006
双流机场1航站楼,30.579754671502037,103.95882000000002
双流机场2航站楼,30.570778789484336,103.95647200000002
崔家店,30.66697952335787,104.13645000000002
双店路,30.656047667416136,104.138411
迎晖路,30.64035887407957,104.13992700000001
大观,30.62285710451209,104.13222700000001
狮子山,30.617070851213118,104.124042
四川师大,30.61019591545947,104.114965
琉璃场,30.608591292251226,104.09901099999999
三瓦窑,30.605407960195347,104.07730200000002
神仙树,30.610467267567795,104.04891699999999
高朋大道,30.617694172465775,104.03414500000001
武侯大道,30.637476912032373,104.01341599999999
龙爪堰,30.653330703212664,104.00844
东坡路,30.662338427861556,104.00823600000003
金沙博物馆,30.679922352739336,104.01313300000001
茶店子,30.696635106736185,104.03028599999999
花照壁,30.697533120481463,104.04148799999999
西南交大,30.696186138250297,104.04985600000003
九里堤,30.69549211744339,104.05718799999997
北站西二路,30.695859142563744,104.06630100000002
府青路,30.69525911962601,104.107294
八里庄,30.687790248989252,104.118869
二仙桥,30.681565247877653,104.126577
理工大学,30.672951444641253,104.136681
