name,BC
中医大省医院,0.4379509379509379
春熙路,0.4033189033189033
省体育馆,0.3739435168006596
天府广场,0.3533292104720676
骡马市,0.33457019171304886
市二医院,0.3084930942073799
宽窄巷子,0.26901669758812613
东门大桥,0.2597402597402597
草堂北路,0.2597402597402597
牛王庙,0.24531024531024528
西南财大,0.24531024531024528
牛市口,0.23046794475365903
文化宫,0.23046794475365903
倪家桥,0.2152133580705009
东大路,0.2152133580705009
清江西路,0.2152133580705009
桐梓林,0.19954648526077096
塔子山公园,0.19954648526077096
成都西站,0.19954648526077096
锦江宾馆,0.19284683570397854
火车南站,0.18346732632446916
白果林,0.18346732632446916
成都东客站,0.18346732632446916
中坝,0.18346732632446916
新南门,0.1833642547928262
华西坝,0.18274582560296845
磨子桥,0.17326324469181612
高新,0.16697588126159554
蜀汉路东,0.16697588126159554
成渝立交,0.16697588126159554
蔡桥,0.16697588126159554
金融城,0.15007215007215005
一品天下,0.15007215007215005
惠王陵,0.15007215007215005
衣冠庙,0.15007215007215005
非遗博览园,0.15007215007215005
玉双路,0.15007215007215005
人民公园,0.14347557204700062
通惠门,0.13574520717377858
孵化园,0.13275613275613274
羊犀立交,0.13275613275613274
洪河,0.13275613275613274
红星桥,0.13275613275613274
高升桥,0.13275613275613274
马厂坝,0.13275613275613274
双桥路,0.13275613275613274
太升南路,0.1261595547309833
锦城广场,0.11502782931354359
茶店子客运站,0.11502782931354359
成都行政学院,0.11502782931354359
前锋路,0.11502782931354359
红牌楼,0.11502782931354359
凤凰大街,0.11502782931354359
万年场,0.11502782931354359
世纪城,0.0968872397443826
迎宾大道,0.0968872397443826
大面铺,0.0968872397443826
李家沱,0.0968872397443826
太平园,0.0968872397443826
涌泉,0.0968872397443826
槐树店,0.0968872397443826
天府三街,0.07833436404864975
金科北路,0.07833436404864975
连山坡,0.07833436404864975
驷马桥,0.07833436404864975
光华公园,0.07833436404864975
来龙,0.07833436404864975
簇锦,0.07833436404864975
文殊院,0.05936920222634508
天府五街,0.05936920222634508
金周路,0.05936920222634508
界牌,0.05936920222634508
昭觉寺南路,0.05936920222634508
南熏大道,0.05936920222634508
十陵,0.05936920222634508
华兴,0.05936920222634508
人民北路,0.03999175427746856
华府大道,0.03999175427746856
百草路,0.03999175427746856
书房,0.03999175427746856
动物园,0.03999175427746856
凤溪河,0.03999175427746856
成都大学,0.03999175427746856
金花,0.03999175427746856
火车北站,0.0202020202020202
四河,0.0202020202020202
天河路,0.0202020202020202
龙平路,0.0202020202020202
熊猫大道,0.0202020202020202
杨柳河,0.0202020202020202
明蜀王陵,0.0202020202020202
双流机场1航站楼,0.0202020202020202
升仙湖,0.0
广都,0.0
犀浦,0.0
龙泉驿,0.0
军区总医院,0.0
万盛,0.0
西河,0.0
双流机场2航站楼,0.0
