name,latitude,longitude
莘庄,31.112048191464282,121.38526899999997
外环路,31.121855098461555,121.39302699999998
莲花路,31.13177500436038,121.40292900000001
锦江乐园,31.143162896300442,121.41404900000002
南站,31.15569077738209,121.42965699999998
漕宝路,31.16919364916066,121.43477200000002
体育馆,31.18646748505781,121.44350999999997
徐家汇,31.19471040672057,121.43623899999997
衡山路,31.20588230051791,121.44672699999997
常熟路,31.214486218703737,121.45130700000003
陕西南路,31.216223202184395,121.45850899999999
黄陂南路,31.2236881311808,121.47327700000001
人民广场,31.23360703681233,121.47553700000003
新闸路,31.23961997959205,121.46808099999998
汉中路,31.24172395956786,121.45852199999999
火车站,31.24824989745087,121.455913
中山北路,31.25987278678978,121.459122
延长路,31.272738664251136,121.455405
马戏城,31.28045959069284,121.452043
汶水路,31.293397467395394,121.45025300000003
彭浦新村,31.308016994975137,121.44863999999998
共康路,31.319902214663173,121.44702800000002
通河新村,31.33204209884087,121.44147700000003
呼兰路,31.340510018027604,121.437716
共富新村,31.35631186717078,121.43409000000003
宝安公路,31.37043373229464,121.43097800000001
友谊西路,31.382251619381577,121.42787600000003
富锦路,31.393300513781206,121.42471999999997
徐泾东,31.18928145831709,121.29958499999996
虹桥火车站,31.194825405627526,121.321046
虹桥2号航站楼,31.19505540344146,121.327103
淞虹路,31.219154174307914,121.35927799999997
北新泾,31.217378191199582,121.37405
威宁路,31.215688207272464,121.38725700000002
娄山关路,31.21197724256355,121.40402899999998
中山公园,31.21935617238661,121.41813700000002
江苏路,31.221192154923315,121.43062599999998
静安寺,31.22425012583473,121.44667899999999
南京西路,31.229462076250773,121.46248000000003
南京东路,31.239031985187957,121.48464799999999
陆家嘴,31.238640988908983,121.502393
东昌路,31.23451898085227,121.515119
科技馆,31.219729168838892,121.54535999999999
世纪公园,31.21045425704597,121.55087000000002
龙阳路,31.20389531940911,121.55735699999998
张江高科,31.202773330075996,121.58778700000002
金科路,31.205123307734155,121.602062
广兰路,31.211935242962912,121.62053800000002
唐镇,31.215056213282942,121.65613900000001
创新中路,31.214660217048987,121.67372900000002
华夏东路,31.19771537815797,121.680872
川沙,31.18759547433897,121.69807200000002
凌空路,31.193704416282074,121.723707
远东大道,31.200282353756624,121.75538199999998
海天三路,31.16968384879912,121.79682699999998
浦东国际机场,31.151223095636247,121.806668
石龙路,31.158829747579297,121.44327000000003
龙漕路,31.17055263625311,121.44440300000001
漕溪路,31.17766256871545,121.438268
宜山路,31.185049498531907,121.427296
虹桥路,31.19755237970737,121.422209
延安西路,31.21050225658951,121.41710500000003
金沙江路,31.232093051218122,121.412064
曹杨路,31.238558989689345,121.41795200000001
镇坪路,31.24770590262933,121.43173599999997
中潭路,31.255494828476515,121.441048
宝山路,31.252436857591256,121.47637499999998
东宝兴路,31.26084377754332,121.48018200000003
虹口足球场,31.270739683293023,121.47946600000002
赤峰路,31.28213257475195,121.48246100000001
大柏树,31.29044449554112,121.48313099999999
江湾镇,31.306420343241648,121.485094
殷高西路,31.320906205086015,121.48490900000002
长江南路,31.33294809019553,121.49158300000002
淞发路,31.346110964564396,121.50017899999999
张华浜,31.35905884093909,121.49856
淞滨路,31.37170772012426,121.49301000000003
水产路,31.382286619047097,121.48813800000003
宝杨路,31.396148486556182,121.47958400000003
友谊路,31.404949402410274,121.47602000000002
铁力路,31.40898436382478,121.46118399999999
江杨北路,31.408715366397267,121.439512
海伦路,31.260202783647376,121.488807
临平路,31.261837768077623,121.50068799999997
大连路,31.258834796673945,121.51297399999997
杨树浦路,31.252992852297833,121.517128
浦东大道,31.240995966496506,121.519496
浦电路,31.221816151032552,121.52591
蓝村路,31.212721235488512,121.527919
塘桥,31.21053925623771,121.518726
南浦大桥,31.209643314054134,121.499599
西藏南路,31.202865329201327,121.489509
鲁班路,31.200003356408814,121.475141
大木桥路,31.19499440402125,121.463371
东安路,31.191776434605945,121.454834
体育场,31.18646748505781,121.44350999999997
春申路,31.099231312972037,121.385578
银都路,31.090564905765298,121.39037599999997
颛桥,31.068074608158764,121.40179300000003
北桥,31.046064816524755,121.40998300000001
剑川路,31.02736499345095,121.41641400000002
东川路,31.019220070483176,121.419868
金平路,31.012052138260213,121.41005600000001
华宁路,31.00822417445012,121.395103
文井路,31.004437210248472,121.38066900000001
闵行开发区,31.00187408772986,121.36981299999998
江川路,31.012052138260213,121.41005600000001
西渡,30.99086833848328,121.433821
奉浦大道,30.9587916414282,121.40495
环城东路,31.162129716245026,121.15181999999997
望园路,30.921770152645237,121.50487
金海湖,31.265106570813845,121.638887
奉贤新城,30.921770152645237,121.50487
平庄公路,38.0433240159752,114.45534
港城路,31.354237886974534,121.57473400000003
外高桥保税区北,31.348845938454893,121.586923
航津路,31.336166059486462,121.59408200000001
外高桥保税区南,31.32252118967989,121.60201999999997
洲海路,31.313073279797898,121.58933000000003
五洲大道,31.30348437123584,121.58935100000001
东靖路,31.291243487925907,121.588834
巨峰路,31.2816645792113,121.58841400000003
五莲路,31.272813663536674,121.587989
博兴路,31.26504273755501,121.58693300000003
金桥路,31.258032804310645,121.58191400000003
云山路,31.25145886690209,121.57303699999999
德平路,31.24625191646986,121.564161
北洋泾路,31.240242973662955,121.55277299999999
民生路,31.236713007256597,121.54333799999999
源深体育中心,31.23382303475702,121.534394
儿童医学中心,31.20481131070048,121.52353999999998
临沂新村,31.194108412442297,121.51672100000002
高科西路,31.186582483965047,121.509801
东明路,31.17355960769143,121.510842
高青路,31.160455732140445,121.51575000000001
华夏西路,31.15066782506661,121.51431599999998
上南路,31.149954831834705,121.506529
