name,BC
世纪大道,0.24925813343698544
南京西路,0.23310969997712655
江苏路,0.2169965498459229
徐家汇,0.2033866154869605
上海火车站,0.2010941359881571
曹杨路,0.17606290415671638
人民广场,0.15927475690938003
静安寺,0.15725649544978892
漕宝路,0.15408549772453523
汉中路,0.15285256577518452
海伦路,0.1468473281025246
龙阳路,0.14404725707120922
交通大学,0.1439662207860734
镇坪路,0.14389475083087871
宝山路,0.14385927235748272
中山公园,0.1415790755112113
南京东路,0.14035685965832267
上海体育馆,0.13009023121429902
上海南站,0.12887805488919035
龙华,0.12883210903381057
锦江乐园,0.12342881803959649
陕西南路,0.12277493591767126
莲花路,0.11819604035172898
上海科技馆,0.11654969963353193
外环路,0.11292729855604108
枫桥路,0.11292729855604108
娄山关路,0.11283239327151491
陆家嘴,0.11237587665446484
世纪公园,0.11215908147045864
宜山路,0.11147092272315519
大连路,0.11134198765336759
东昌路,0.10989884872833512
陆家浜路,0.10811333380327709
威宁路,0.10767154379928817
莘庄,0.10762259265253278
真如,0.10762259265253278
东方体育中心,0.10603203911587143
隆德路,0.10463590860384643
北新泾,0.10251069432706153
春申路,0.10228192264120409
上海西站,0.10228192264120409
虹桥2号航站楼,0.10091928255600907
淞虹路,0.0973498448548348
银都路,0.09690528852205499
李子园,0.09690528852205499
虹桥火车站,0.0924097750445056
颛桥,0.09149269029508551
祁连山路,0.09149269029508551
曲阜路,0.08898830801612245
四平路,0.08883134631637626
龙华中路,0.08798386727423392
耀华路,0.08785784579197758
邮电新村,0.08736580892269516
北桥,0.08604412796029563
武威路,0.08604412796029563
肇嘉浜路,0.08447898477856307
中潭路,0.08387635405749715
虹口足球场,0.0810091833544927
剑川路,0.08055960151768536
岚皋路,0.08055960151768536
桂林路,0.08055960151768536
桃浦新村,0.08055960151768536
嘉善路,0.07938647733891946
云锦路,0.07685945335645929
小南门,0.07659271666967546
临平路,0.076392375262342
西藏南路,0.07620733980472172
东川路,0.07503911096725469
新村路,0.07503911096725469
漕河泾开发区,0.07503911096725469
南翔,0.07503911096725469
商城路,0.07464411648759103
龙耀路,0.07304710807704813
金沙江路,0.07106794561884375
赤峰路,0.06948265630900362
金平路,0.06948265630900362
大华三路,0.06948265630900362
合川路,0.06948265630900362
陈翔路,0.06948265630900362
江浦公园,0.06802278054882774
虹桥路,0.06745120668608598
常熟路,0.06629043981383821
中山北路,0.06389023754293216
大柏树,0.06389023754293216
华宁路,0.06389023754293216
行知路,0.06389023754293216
星中路,0.06389023754293216
马陆,0.06389023754293216
华夏中路,0.06389023754293216
诸光路,0.06389023754293216
宁国路,0.06286193107660101
大木桥路,0.06256873373632976
天潼路,0.06019532623322619
龙漕路,0.059886764334710595
延长路,0.058261854669040304
张江高科,0.058261854669040304
江湾镇,0.058261854669040304
文井路,0.058261854669040304
大场镇,0.058261854669040304
七宝,0.058261854669040304
嘉定新城,0.058261854669040304
罗山路#,0.058261854669040304
蟠龙路,0.058261854669040304
高科西路,0.057824927735107313
杨高中路,0.05775835928320429
隆昌路,0.05773704571219468
巨峰路,0.05516294525486673
爱国路,0.05264812445560876
上海马戏城,0.05259750768732805
金科路,0.05259750768732805
殷高西路,0.05259750768732805
闵行开发区,0.05259750768732805
场中路,0.05259750768732805
中春路,0.05259750768732805
白银路,0.05259750768732805
周浦东,0.05259750768732805
徐盈路,0.05259750768732805
芳甸路,0.05240869824492051
云台路,0.05091712172550493
源深体育中心,0.04917525368723563
复兴岛,0.047595167306843225
蓝天路,0.047157938503142816
汶水路,0.046897196597795406
广兰路,0.046897196597795406
长江南路,0.046897196597795406
江川路,0.046897196597795406
上大路,0.046897196597795406
九亭,0.046897196597795406
三林,0.046897196597795406
嘉定西,0.046897196597795406
鹤沙航城,0.046897196597795406
徐泾北城,0.046897196597795406
浦东大道,0.04655311475786941
中兴路,0.04587139129304802
马当路,0.04581374622049213
上海游泳馆,0.045500720663553026
杨树浦路,0.04549016129970631
民生路,0.043816601621996805
后滩,0.043041434907702285
东陆路,0.042578174265898085
台儿庄路,0.04194314286918551
西藏北路,0.0416688354437856
彭浦新村,0.04116092140044236
唐镇,0.04116092140044236
淞发路,0.04116092140044236
西渡,0.04116092140044236
南陈路,0.04116092140044236
鞍山新村,0.04116092140044236
泗泾,0.04116092140044236
三林东,0.04116092140044236
嘉定北,0.04116092140044236
航头东#,0.04116092140044236
嘉松中路,0.04116092140044236
长清路,0.040775546264568134
东宝兴路,0.03943924920721328
北洋泾路,0.038520886745443614
成山路,0.038472645209172145
中华艺术宫,0.038375838575439365
杨高南路,0.03768357555782706
芳华路,0.03696892319646814
金桥,0.0367643113430486
杨思,0.03661340981700266
锦绣路,0.03581725632623838
共康路,0.03538868209526892
创新中路,0.03538868209526892
张华浜,0.03538868209526892
萧塘,0.03538868209526892
东靖路,0.03538868209526892
上海大学,0.03538868209526892
江浦路,0.03538868209526892
佘山,0.03538868209526892
同济大学,0.03538868209526892
浦三路,0.03538868209526892
上海赛车场,0.03538868209526892
桂林公园,0.03538868209526892
新场,0.03538868209526892
赵巷,0.03538868209526892
德平路,0.0333150821384414
老西门,0.033176248546800215
上海图书馆,0.03264476728084171
金吉路,0.03162144392473208
鲁班路,0.03131148674099388
宋园路,0.030862199524874165
通河新村,0.02958047868227509
华夏东路,0.02958047868227509
淞滨路,0.02958047868227509
奉浦大道,0.02958047868227509
五洲大道,0.02958047868227509
祁华路,0.02958047868227509
黄兴路,0.02958047868227509
凌兆新村,0.02958047868227509
洞泾,0.02958047868227509
国权路,0.02958047868227509
严御路,0.02958047868227509
