车站名称,累计距离（km）,站间距离（km）,开通时间
莘庄,0,-,2003-11-25
春申路,1588,1588,2003-11-25
银都路,2663,1075,2003-11-25
颛桥,5420,2757,2003-11-25
北桥,7971,2551,2003-11-25
剑川路,10147,2176,2003-11-25
东川路,11116,969,2003-11-25
金平路,12575,1459,2003-11-25
华宁路,14062,1487,2003-11-25
文井路,15508,1446,2003-11-25
闵行开发区,16613,1105,2003-11-25
