车站名称,累计距离（km）,站间距离（km）,开通时间
龙阳路,0,-,2014-12-28
华夏中路,4.4,4.4,2014-12-28
罗山路,7,2.7,2013-12-29
周浦东,12,5,2013-12-29
鹤沙航城,14.6,2.6,2013-12-29
航头东,17.2,2.6,2013-12-29
新场,20.8,3.6,2013-12-29
野生动物园,25.7,4.8,2013-12-29
惠南,31.7,6.1,2013-12-29
惠南东,37.5,5.8,2013-12-29
书院,48.1,10.6,2013-12-29
临港大道,55.2,7.1,2013-12-29
滴水湖,57.8,2.6,2013-12-29
