车站名称,累计距离（km）,站间距离（km）,开通时间
金运路,0,-,2012-12-30
金沙江西路,,,2012-12-30
丰庄,,,2012-12-30
祁连山南路,,,2012-12-30
真北路,,,2012-12-30
大渡河路,,,2012-12-30
金沙江路,,,2012-12-30
隆德路,,,2014-12-28
武宁路,,,2014-12-28
长寿路,,,2014-12-28
江宁路,,,2015-12-19
汉中路,,,2015-12-19
自然博物馆,,,2015-12-19
南京西路,,,2015-12-19
淮海中路,,,2015-12-19
新天地,,,2015-12-19
马当路,,,2010-4-20
世博会博物馆,,,2010-4-20
世博大道,,,2010-4-20
