name,BC
春熙路,0.4189873417721519
中医大省医院,0.3968354430379747
天府广场,0.3917721518987342
省体育馆,0.35632911392405064
骡马市,0.3386075949367089
东门大桥,0.30854430379746833
牛王庙,0.29240506329113924
牛市口,0.2756329113924051
倪家桥,0.2582278481012658
东大路,0.2582278481012658
宽窄巷子,0.242246835443038
桐梓林,0.24018987341772152
塔子山公园,0.24018987341772152
火车南站,0.22151898734177217
白果林,0.22151898734177217
成都东客站,0.22151898734177217
高新,0.20221518987341772
蜀汉路东,0.20221518987341772
成渝立交,0.20221518987341772
锦江宾馆,0.2009493670886076
华西坝,0.18829113924050633
市二医院,0.18591772151898733
金融城,0.18227848101265823
一品天下,0.18227848101265823
惠王陵,0.18227848101265823
新南门,0.17246835443037975
孵化园,0.16170886075949367
羊犀立交,0.16170886075949367
洪河,0.16170886075949367
草堂北路,0.16170886075949367
磨子桥,0.15981012658227847
人民公园,0.14319620253164558
锦城广场,0.14050632911392405
茶店子客运站,0.14050632911392405
成都行政学院,0.14050632911392405
西南财大,0.14050632911392405
通惠门,0.13306962025316457
文殊院,0.12563291139240507
世纪城,0.11867088607594937
迎宾大道,0.11867088607594937
大面铺,0.11867088607594937
文化宫,0.11867088607594937
人民北路,0.10632911392405063
驷马桥,0.10411392405063291
天府三街,0.09620253164556962
金科北路,0.09620253164556962
连山坡,0.09620253164556962
清江西路,0.09620253164556962
红星桥,0.0930379746835443
火车北站,0.09066455696202531
前锋路,0.07373417721518988
天府五街,0.07310126582278481
金周路,0.07310126582278481
界牌,0.07310126582278481
昭觉寺南路,0.07310126582278481
衣冠庙,0.07310126582278481
成都西站,0.07310126582278481
李家沱,0.05775316455696203
太升南路,0.04968354430379747
华府大道,0.049367088607594936
百草路,0.049367088607594936
书房,0.049367088607594936
动物园,0.049367088607594936
高升桥,0.049367088607594936
中坝,0.049367088607594936
玉双路,0.049367088607594936
四河,0.025
天河路,0.025
龙平路,0.025
熊猫大道,0.025
红牌楼,0.025
蔡桥,0.025
双桥路,0.025
升仙湖,0.0
广都,0.0
犀浦,0.0
龙泉驿,0.0
军区总医院,0.0
太平园,0.0
非遗博览园,0.0
万年场,0.0
