fraction,result
0.02,0.55
0.04,0.6
0.06,0.5857142857142856
0.08,0.5333333333333333
0.1,0.6
0.12,0.5142857142857143
0.14,0.5294117647058824
0.16,0.5368421052631579
0.18,0.5545454545454546
0.2,0.5125000000000001
0.22,0.5518518518518518
0.24,0.5517241379310345
0.26,0.5225806451612903
0.28,0.5352941176470588
0.3,0.5305555555555556
0.32,0.5538461538461539
0.34,0.551219512195122
0.36,0.5613636363636364
0.38,0.5804347826086956
0.4,0.5346938775510204
0.42,0.5450980392156863
0.44,0.5611111111111111
0.46,0.5482142857142857
0.48,0.5559322033898305
