fraction,efficiency
0.015,0.08401250160471227
0.010,0.08633716078922965
0.005,0.0893648033487295
0.000,0.09061557287536617
0.035,0.07628794143629379
0.020,0.08221861422257054
0.025,0.0803508451453905
0.030,0.0778034235657563
0.055,0.06822874831100796
0.050,0.07083599156362261
0.045,0.07209725261946204
0.040,0.07403977660198673
0.075,0.06266774911245515
0.070,0.06532768817006962
0.065,0.06625216422645612
0.060,0.06721402900940834
0.095,0.05767188683203313
0.090,0.058830109251015894
0.080,0.06202522080513886
0.085,0.06039122739440497
0.115,0.05242779152356231
0.105,0.055024263509962895
0.110,0.0553979910116868
0.100,0.05624330460519908
0.135,0.048728108345494486
0.130,0.04988981100950008
0.125,0.05087365147759775
0.120,0.05177512021436278
0.150,0.044478566878410924
0.145,0.046225287997624015
0.155,0.043711072428157624
0.140,0.04755846278343994
0.175,0.04055825044518553
0.165,0.041491244726136155
0.170,0.040974974800328974
0.160,0.04227944680555978
0.195,0.037752636390845196
0.190,0.03863696460327762
0.185,0.03879553240505879
0.180,0.04021138627936081
0.210,0.03523217555624274
0.200,0.03512923738659883
0.215,0.03407049933267308
0.205,0.03447788406899416
0.230,0.033058630663614856
0.235,0.03176454077356727
0.225,0.03243499508881078
0.220,0.03342230573645543
0.250,0.029649669452541372
0.255,0.028610481182646356
0.245,0.030271062828509873
0.240,0.0305949640642618
0.270,0.02783804059409385
0.260,0.0272728146167419
0.275,0.026596476084915617
0.265,0.02750803377447207
0.295,0.02507702756036008
0.290,0.025289812418182258
0.285,0.026174531557888514
0.280,0.025802305016186224
0.310,0.023556053963817818
0.305,0.02293554529757095
0.315,0.023425774571325098
0.300,0.024669886754326863
0.335,0.020974804420542097
0.330,0.021734230620118117
0.325,0.022401837566439417
0.320,0.02329648304883448
0.340,0.020210158668709934
0.355,0.01991965642406889
0.345,0.020396759790762053
0.350,0.020415332159531986
0.375,0.01812755252694875
0.370,0.019128905471682247
0.365,0.019514954538891894
0.360,0.020590888240737217
0.395,0.016815764295161927
0.390,0.017771613412423216
0.385,0.017662971225233016
0.380,0.018178367143001205
0.415,0.01596719165760576
0.410,0.016832425471981785
0.400,0.0168392030369869
0.405,0.01751293597609237
0.435,0.014926022351205452
0.430,0.016083784674703148
0.425,0.015493701861987867
0.420,0.016561997825690133
0.450,0.01501062379050108
0.455,0.015096217168599076
0.445,0.015604109710914948
0.440,0.015479038495310243
0.475,0.013755325962859229
0.470,0.014457944705037314
0.465,0.014591528585340505
0.460,0.01451397605314694
0.495,0.01280463421972462
0.485,0.013719887270907376
0.480,0.01381996609484856
0.490,0.013239336140524036
