fraction,efficiency
0.0,0.09061557287536594
0.005,0.08490791518167572
0.01,0.08470158936006178
0.015,0.08334388410083407
0.02,0.08330535534210488
0.025,0.08272808969679399
0.03,0.07935646028406813
0.035,0.07843496403954817
0.04,0.07614391824097726
0.045,0.07569358472984176
0.05,0.07525968597431712
0.055,0.0740674253010567
0.06,0.07329155346430036
0.065,0.05000834775718624
0.07,0.04796079775770532
0.075,0.04361107122887799
0.08,0.03830646094975491
0.085,0.03419243967817874
0.09,0.030543670617628527
0.095,0.030478130783437283
0.1,0.030598814691153945
0.105,0.029159490187374706
0.11,0.029136659918520904
0.115,0.029080765996733874
0.12,0.029068465482261118
0.125,0.029027534202758224
0.13,0.029018803397148813
0.135,0.028486865382132735
0.14,0.028420222315861252
0.145,0.028346332183055142
0.15,0.026416745420342953
0.155,0.026516462924478255
0.16,0.02639148268683639
0.165,0.026291361277701396
0.17,0.026391816069321984
0.17500000000000002,0.026006165012119158
0.18,0.02494877849940176
0.185,0.024787288488401556
0.19,0.02391549608210433
0.195,0.024085586276072705
0.2,0.024191289358135675
0.20500000000000002,0.02397843865565597
0.21,0.01758987309360635
0.215,0.017666307805645175
0.22,0.0176549987979338
0.225,0.017695444191080986
0.23,0.01777523847798305
0.23500000000000001,0.01781526382946284
0.24,0.01754105929983931
0.245,0.017620520042506707
0.25,0.017660368183137137
0.255,0.017702003052463805
0.26,0.017713721851539892
0.265,0.017755592712246245
0.27,0.017839619967692604
0.275,0.01787578080941013
0.28,0.017693097237265917
0.28500000000000003,0.017688269279535075
0.29,0.017684256779831823
0.295,0.017726139477105034
0.3,0.01781012772965866
0.305,0.017894394969557866
0.31,0.017936625984935537
0.315,0.017968689538843417
0.32,0.01731153096502049
0.325,0.017236483427860053
0.33,0.01731250396428974
0.335,0.017388484765166436
0.34,0.01742644796943445
0.34500000000000003,0.017502293841023663
0.35000000000000003,0.017516962807200886
0.355,0.017558446536301175
0.36,0.017483490090532086
0.365,0.01756354650654416
0.37,0.017603540408244023
0.375,0.017683428947953946
0.38,0.017722238768086086
0.385,0.017685326701085857
0.39,0.017772985954478106
0.395,0.01615431423508293
0.4,0.016207770670457262
0.405,0.016234087102177573
0.41000000000000003,0.016285833925427845
0.41500000000000004,0.016336311081209046
0.42,0.016361038732172758
0.425,0.01631957295007813
0.43,0.016352989804353808
0.435,0.01638162867486175
0.44,0.01643795816198818
0.445,0.01649292149292147
0.45,0.016519850595937528
0.455,0.016572518036218245
0.46,0.016623476278172372
0.465,0.016121604445626745
0.47000000000000003,0.016089603492002984
0.47500000000000003,0.016140228818800197
0.48,0.01576745640785045
0.485,0.015805855881806906
0.49,0.015841728504267162
0.495,0.015858651152768757
