fraction,efficiency
0.000,0.09061557287536594
0.005,0.08490791518167572
0.010,0.08268409240246043
0.015,0.07618995506273422
0.020,0.06996776721590843
0.025,0.06795438462530795
0.030,0.06218046827739135
0.035,0.060989141043079384
0.040,0.052996600416893795
0.045,0.049623973355689306
0.050,0.04582739838817243
0.055,0.03416615492220744
0.060,0.0259424850509958
0.065,0.026033145132308654
0.070,0.025448578670519726
0.075,0.025682545216030712
0.080,0.025773709987488905
0.085,0.025959007587608204
0.090,0.025125844206505363
0.095,0.022871859391119926
0.100,0.022002960530362128
0.105,0.022101048441338887
0.110,0.022169744403872094
0.115,0.019780303775895243
0.120,0.019839826145075325
0.125,0.019894103984188786
0.130,0.019462899983828205
0.135,0.019568587606911922
0.140,0.019353255017926813
0.145,0.019459652611768342
0.150,0.017778560890506508
0.155,0.017503826759299807
0.160,0.016674452625281208
0.165,0.01674403557295977
0.170,0.016365605942001368
0.175,0.016147513410820886
0.180,0.016211060995060797
0.185,0.01624288550205485
0.190,0.015573637446921775
0.195,0.01575057088651381
0.200,0.015439592436958636
0.205,0.015466126114566539
0.210,0.015519077671358059
0.215,0.01566415706002296
0.220,0.015784188914889037
0.225,0.01586349844106803
0.230,0.015923674212117735
0.235,0.01595374393470722
0.240,0.015950210258509408
0.245,0.01601432655997773
0.250,0.016046443582308625
0.255,0.016110684981344187
0.260,0.016174915611681568
0.265,0.016207018794960854
0.270,0.016271183784541683
0.275,0.016246750358890866
0.280,0.016267270240016965
0.285,0.016350798438464653
0.290,0.016419634886615953
0.295,0.016454051149726864
0.300,0.016522860809068
0.305,0.016591613195108337
0.310,0.016625957351224806
0.315,0.01579798723174798
0.320,0.01373914779606876
0.325,0.013802255922446195
0.330,0.013824751196775033
0.335,0.013845828531927215
0.340,0.013855807973455056
0.345,0.013874590655412591
0.350,0.01389172419485701
0.355,0.01388584107478119
0.360,0.014033284689663758
0.365,0.014116987037529173
0.370,0.014129279987055193
0.375,0.014152643513545778
0.380,0.01417428686450426
0.385,0.014184428051038433
0.390,0.014203274805857292
0.395,0.014220102516937115
0.400,0.01440570954750058
0.405,0.014019502273271098
0.410,0.014304881056150071
0.415,0.014418529316488477
0.420,0.014567173948617224
0.425,0.014705927707870683
0.430,0.014730543636578329
0.435,0.014742013764570122
0.440,0.014763177998472071
0.445,0.014781832523767966
0.450,0.014790162833641053
0.455,0.014804711291830686
0.460,0.014975445058317941
0.465,0.015142768466790767
0.470,0.01527751327789411
0.475,0.015530303030302981
0.480,0.01564313081554456
0.485,0.015801855088049425
0.490,0.016006191950464353
0.495,0.0160250609119387
