车站名称,英文名称,站间距离（km）,累计距离（km）,开通时间
太平园,Taipingyuan,-,0,2017-9-6
簇锦,Cujin,2.1,2.1,2017-9-6
华兴,Huaxing,1.6,3.7,2017-9-6
金花,Jinhua,3.4,7.1,2017-9-6
双流机场1航站楼,Terminal 1 of Shuangliu International Airport,2.0,9.1,2017-9-6
双流机场2航站楼,Terminal 2 of Shuangliu International Airport,1.0,10.1,2017-9-6
