fraction,efficiency
0.010,0.13206040915589518
0.000,0.13566301302953587
0.005,0.13566301302953587
0.025,0.12468640784019977
0.020,0.1279189228786538
0.015,0.13183294575354734
0.035,0.12067846535163763
0.030,0.12618116781695843
0.040,0.12196713318706706
0.055,0.11769471377816526
0.050,0.11647014373699548
0.045,0.11892672226078212
0.070,0.10874868982008047
0.060,0.11183719293980954
0.065,0.11291958037249669
0.085,0.10144096801738367
0.075,0.1048660868910877
0.080,0.10597816167604943
0.100,0.09508092578702662
0.095,0.09838708190926755
0.090,0.09916100169272324
0.115,0.09030273117241895
0.110,0.09225951089081262
0.105,0.09574387679182038
0.120,0.0881549780052463
0.130,0.08694452570174058
0.125,0.08755168914854844
0.140,0.08112611443906198
0.145,0.0824834047439108
0.135,0.08505949839158036
0.155,0.07702200280621142
0.160,0.07426913407398832
0.150,0.07940319366162081
0.175,0.0678322128978385
0.165,0.0723015732524045
0.170,0.07286339622473549
0.180,0.0663181139840336
0.185,0.06759863950655264
0.190,0.06683428665687367
0.205,0.06286719131341804
0.200,0.06702134126104568
0.195,0.06580185949994619
0.210,0.062042647778361645
0.215,0.05934899232149529
0.220,0.05941813496750184
0.230,0.05212048920781705
0.235,0.0563297431202367
0.225,0.05659686363502923
0.240,0.057508884348300954
0.245,0.05228612208362324
0.250,0.053576015798797394
0.265,0.05021745307827469
0.260,0.049617254781244624
0.255,0.052367837901116925
0.280,0.04612086453830055
0.275,0.0468665731324991
0.270,0.050363101124887344
0.285,0.04601806465335925
0.295,0.045002783421403236
0.290,0.04651832609059285
0.310,0.041895089917075905
0.305,0.04517632155846907
0.300,0.04479060830313939
0.315,0.041576144016971385
0.320,0.04107318038044501
0.325,0.04048966882363146
0.330,0.039854809702357524
0.335,0.03886031776615666
0.340,0.039354235974998535
0.350,0.040366284241240044
0.345,0.038811090769132035
0.355,0.039455422196021515
0.370,0.0371550575813878
0.365,0.03664992690195531
0.360,0.038537549698599155
0.375,0.03665616985188884
0.385,0.03561177527813875
0.380,0.03613391641692885
0.400,0.03469853138352649
0.395,0.03544972190534107
0.390,0.03477312180182472
0.415,0.03333911860145939
0.410,0.03429899946476358
0.405,0.034193956573536896
0.430,0.03235897494524253
0.425,0.033732668255501676
0.420,0.03294295556030554
0.435,0.032933297231260324
0.440,0.03311681996299117
0.445,0.03260988465687953
0.460,0.03053650745204339
0.450,0.03136103243812262
0.455,0.031197623016433366
0.475,0.029516445120050885
0.465,0.031118802823697916
0.470,0.030834972815855167
0.490,0.030903940188502396
0.480,0.028876141838501783
0.485,0.029085373359554904
0.495,0.02920916304211236
