fraction,efficiency
0.000,0.13566301302953604
0.005,0.13566301302953604
0.010,0.13017380778783422
0.015,0.13017380778783422
0.020,0.12377855608237388
0.025,0.1166600605387188
0.030,0.1166600605387188
0.035,0.10751753113443734
0.040,0.10751753113443734
0.045,0.0730459210934331
0.050,0.06300777628781169
0.055,0.06300777628781169
0.060,0.05923176082702012
0.065,0.05923176082702012
0.070,0.055634418298854564
0.075,0.04251105198522999
0.080,0.04251105198522999
0.085,0.03961244162503337
0.090,0.03747004565226582
0.095,0.03747004565226582
0.100,0.031340062930971954
0.105,0.031340062930971954
0.110,0.02803932329370189
0.115,0.024427561621751206
0.120,0.024427561621751206
0.125,0.02471108129207816
0.130,0.02471108129207816
0.135,0.025177328108909824
0.140,0.02547720174404809
0.145,0.02547720174404809
0.150,0.025967147931433628
0.155,0.02628465789873555
0.160,0.02628465789873555
0.165,0.026800043347730364
0.170,0.026800043347730364
0.175,0.02678152969358559
0.180,0.026778970754218267
0.185,0.026778970754218267
0.190,0.026796150538574776
0.195,0.026796150538574776
0.200,0.026837960248597234
0.205,0.02691092190881798
0.210,0.02691092190881798
0.215,0.027024114797955013
0.220,0.027190996746917804
0.225,0.027190996746917804
0.230,0.027433582343996687
0.235,0.027433582343996687
0.240,0.02779477125736564
0.245,0.027220216929193106
0.250,0.027220216929193106
0.255,0.027272994431379545
0.260,0.027272994431379545
0.265,0.02737031046554858
0.270,0.027527612490159326
0.275,0.027527612490159326
0.280,0.02777019612438409
0.285,0.02814735841773462
0.290,0.02814735841773462
0.295,0.028801948148379608
0.300,0.028801948148379608
0.305,0.029206043234771027
0.310,0.02990142521655129
0.315,0.02990142521655129
0.320,0.03033507975418477
0.325,0.03033507975418477
0.330,0.031074959748189277
0.335,0.031214921616908996
0.340,0.031214921616908996
0.345,0.03142945103593254
0.350,0.03175044979633589
0.355,0.03175044979633589
0.360,0.03223999394885473
0.365,0.03223999394885473
0.370,0.033077396389084725
0.375,0.03298101609789924
0.380,0.03298101609789924
0.385,0.03290687577529685
0.390,0.03290687577529685
0.395,0.03286188786188789
0.400,0.032855142101717465
0.405,0.032855142101717465
0.410,0.03289893663752114
0.415,0.03301059160800947
0.420,0.03301059160800947
0.425,0.03321599147554884
0.430,0.03321599147554884
0.435,0.03355765582473658
0.440,0.03411838824242917
0.445,0.03411838824242917
0.450,0.03367357571703491
0.455,0.03367357571703491
0.460,0.03424170306802602
0.465,0.03529529393165759
0.470,0.03529529393165759
0.475,0.03567711802086804
0.480,0.03631369319613368
0.485,0.03631369319613368
0.490,0.037485102654073475
0.495,0.037485102654073475
