fraction,efficiency
0.000,0.13566301302953604
0.005,0.13566301302953604
0.010,0.11809346864631096
0.015,0.11809346864631096
0.020,0.10398945206016359
0.025,0.09991846184152994
0.030,0.09991846184152994
0.035,0.08324177133967929
0.040,0.08324177133967929
0.045,0.0758228755630041
0.050,0.06618803437504982
0.055,0.06618803437504982
0.060,0.05898186842545128
0.065,0.05898186842545128
0.070,0.05099587855746174
0.075,0.05141667027883111
0.080,0.05141667027883111
0.085,0.038221584041748316
0.090,0.03536982599482593
0.095,0.03536982599482593
0.100,0.03453656726383995
0.105,0.03453656726383995
0.110,0.034666533077709005
0.115,0.0353085059124814
0.120,0.0353085059124814
0.125,0.03546156066924493
0.130,0.03546156066924493
0.135,0.03586614310472531
0.140,0.03364125143100879
0.145,0.03364125143100879
0.150,0.034105048390762616
0.155,0.034767282340097815
0.160,0.034767282340097815
0.165,0.03491045040159826
0.170,0.03491045040159826
0.175,0.035052538867332055
0.180,0.03519339791121964
0.185,0.03519339791121964
0.190,0.035702355444779635
0.195,0.035702355444779635
0.200,0.03643097494365269
0.205,0.027845821686553862
0.210,0.027845821686553862
0.215,0.027842210767468505
0.220,0.027832341269841278
0.225,0.027832341269841278
0.230,0.027815816136084904
0.235,0.027815816136084904
0.240,0.0262155331132682
0.245,0.026298448318083676
0.250,0.026298448318083676
0.255,0.026637544649967024
0.260,0.026637544649967024
0.265,0.02722949008663296
0.270,0.02784138874026516
0.275,0.02784138874026516
0.280,0.02809110365290142
0.285,0.028257948947604132
0.290,0.028257948947604132
0.295,0.028222018558826917
0.300,0.028222018558826917
0.305,0.028176666015243323
0.310,0.028121248499399773
0.315,0.028121248499399773
0.320,0.028055077452667828
0.325,0.028055077452667828
0.330,0.02829856009403469
0.335,0.02869617585064741
0.340,0.02869617585064741
0.345,0.029413580246913595
0.350,0.02984177215189875
0.355,0.02984177215189875
0.360,0.030606945796819232
0.365,0.030606945796819232
0.370,0.03140193140193142
0.375,0.031390977443609046
0.380,0.031390977443609046
0.385,0.031368421052631594
0.390,0.031368421052631594
0.395,0.03133333333333335
0.400,0.031284709366901156
0.405,0.031284709366901156
0.410,0.0321537290715373
0.415,0.03224439227960355
0.420,0.03224439227960355
0.425,0.03276324614352784
0.430,0.03276324614352784
0.435,0.03329882677708765
0.440,0.034278204035237285
0.445,0.034278204035237285
0.450,0.03429909277143694
0.455,0.03429909277143694
0.460,0.03430574400723655
0.465,0.0342968142968143
0.470,0.0342968142968143
0.475,0.03427083333333333
0.480,0.03444940476190476
0.485,0.03444940476190476
0.490,0.03504864311315923
0.495,0.03504864311315923
