fraction,efficiency
0.0,0.13566301302953604
0.005,0.13566301302953604
0.01,0.13160662568415077
0.015,0.13160662568415077
0.02,0.1319658260551947
0.025,0.13211151185382647
0.03,0.13211151185382647
0.035,0.1278496392476905
0.04,0.1278496392476905
0.045,0.12052047403251519
0.05,0.11476453757159565
0.055,0.11476453757159565
0.06,0.1148209432658466
0.065,0.1148209432658466
0.07,0.11463914004902481
0.075,0.10967900455376815
0.08,0.10967900455376815
0.085,0.11021930005809995
0.09,0.11069944316575457
0.095,0.11069944316575457
0.1,0.11110045656370983
0.105,0.11110045656370983
0.11,0.11115665825408444
0.115,0.11144606960597092
0.12,0.11144606960597092
0.125,0.10777668078486571
0.13,0.10777668078486571
0.135,0.10785095371640142
0.14,0.10768229115212467
0.145,0.10768229115212467
0.15,0.09841833759710403
0.155,0.09827074543904221
0.16,0.09827074543904221
0.165,0.09785407957487356
0.17,0.09785407957487356
0.175,0.09768227567659879
0.18,0.07042778851205582
0.185,0.07042778851205582
0.19,0.0698966542959038
0.195,0.0698966542959038
0.2,0.053222213683694626
0.205,0.05355031229713411
0.21,0.05355031229713411
0.215,0.053877739906228767
0.22,0.053446438572237756
0.225,0.053446438572237756
0.23,0.05375047761355586
0.235,0.05375047761355586
0.24,0.05419644746426819
0.245,0.04564893576113763
0.25,0.04564893576113763
0.255,0.045733519413643536
0.26,0.045733519413643536
0.265,0.04601236505998402
0.27,0.04600707449022047
0.275,0.04600707449022047
0.28,0.04630474082721265
0.285,0.044459579373372395
0.29,0.044459579373372395
0.295,0.04473731664990679
0.3,0.04473731664990679
0.305,0.04501595987232093
0.31,0.04529534035836549
0.315,0.04529534035836549
0.32,0.04530115928566869
0.325,0.04530115928566869
0.33,0.045607400566260343
0.335,0.04591512405423874
0.34,0.04591512405423874
0.345,0.04622415735841658
0.350,0.04036957504520795
0.355,0.04036957504520795
0.36,0.04056312885426809
0.365,0.04056312885426809
0.37,0.04029819386962243
0.375,0.040472528724408416
0.38,0.040472528724408416
0.385,0.04064202172096908
0.39,0.04064202172096908
0.395,0.0408060918060918
0.4,0.04101699546905026
0.405,0.04101699546905026
0.41,0.040494763354352384
0.415,0.04067693196214322
0.42,0.04067693196214322
0.425,0.040853214525246706
0.43,0.040853214525246706
0.435,0.041022872917282835
0.44,0.04125614013721429
0.445,0.04125614013721429
0.45,0.03658179689786363
0.455,0.03658179689786363
0.46,0.0366576209859792
0.465,0.03672105672105672
0.47,0.03672105672105672
0.475,0.036770833333333336
0.48,0.03636739417989418
0.485,0.03636739417989418
0.49,0.036473800989930014
0.495,0.036473800989930014
