date,node_num
1993-05-28,50.0
1995-04-10,84.61538461538461
1996-12-28,87.5
1999-09-20,62.96296296296296
2000-12-26,61.36363636363637
2003-11-25,68.51851851851852
2004-12-28,71.42857142857143
2005-12-31,71.42857142857143
2006-12-18,75.34246575342466
2006-12-30,75.32467532467533
2007-12-29,79.72972972972973
2008-12-28,79.72972972972973
2009-07-05,80.89171974522293
2009-12-05,77.40112994350282
2009-12-31,76.14213197969542
2010-02-24,76.38190954773869
2010-03-16,76.73267326732673
2010-03-29,76.84729064039408
2010-04-07,76.47058823529412
2010-04-08,77.35849056603774
2010-04-10,74.04255319148936
2010-04-20,73.83966244725738
2010-12-28,74.05857740585773
2011-04-12,74.05857740585773
2011-04-26,74.3801652892562
2011-06-30,74.79674796747967
2012-12-30,75.29411764705883
2013-08-31,75.47169811320755
2013-10-16,75.74626865671642
2013-12-29,76.55172413793103
2014-05-10,76.55172413793103
2014-12-28,76.02739726027397
2015-12-19,76.31578947368422
2016-04-26,76.39344262295083
2017-12-30,77.53846153846153
