date,average_bc
1993-05-28,0.3333333333333333
1995-04-10,0.33333333333333337
1996-12-28,0.33333333333333337
1999-09-20,0.21663817663817658
2000-12-26,0.14877177086479407
2003-11-25,0.1722974789012525
2004-12-28,0.1575046376738603
2005-12-31,0.1575046376738603
2006-12-18,0.16013355628443415
2006-12-30,0.15007063112326266
2007-12-29,0.09054973340687625
2008-12-28,0.09054973340687625
2009-07-05,0.08640714808785493
2009-12-05,0.07427324088341036
2009-12-31,0.06723803148748755
2010-02-24,0.06668114710866538
2010-03-16,0.06592039800995023
2010-03-29,0.06607187444720493
2010-04-07,0.06561091490197991
2010-04-08,0.0651518248361671
2010-04-10,0.057266127981131114
2010-04-20,0.0565499748174455
2010-12-28,0.05648379790452272
2011-04-12,0.05648379790452272
2011-04-26,0.05696578192334517
2011-06-30,0.05713075314092044
2012-12-30,0.05573006582733311
2013-08-31,0.05265540113090157
2013-10-16,0.053215799855163705
2013-12-29,0.05091335892030912
2014-05-10,0.05091335892030912
2014-12-28,0.049234311667778634
2015-12-19,0.04698800308751674
2016-04-26,0.04687066635912946
2017-12-30,0.0455480581796371
