node
安亭
彭浦新村
西藏北路
曹路
临平路
虹桥2号航站楼
朱家角
国际客运中心
书院
昌平路
外高桥保税区南
锦绣路
博兴路
金海路
市光路
殷高西路
广兰路
徐家汇
五莲路
莲花路
马陆
上海体育馆
共康路
诸光路
南翔
松江新城
宜山路
李子园
颛桥
老西门
剑川路
成山路
