node
世纪大道
东昌路
陆家嘴
南京东路
人民广场
商城路
小南门
陆家浜路
南京西路
静安寺
江苏路
西藏南路
上海科技馆
世纪公园
鲁班路
龙阳路
大木桥路
新闸路
汉中路
浦东大道
中山公园
杨树浦路
大连路
上海火车站
东安路
上海体育场
上海体育馆
马当路
隆德路
娄山关路
漕宝路
临平路
