node
世纪大道
南京西路
江苏路
上海火车站
徐家汇
曹杨路
人民广场
静安寺
海伦路
南京东路
汉中路
龙阳路
镇坪路
宝山路
中山公园
上海科技馆
世纪公园
交通大学
陆家嘴
东昌路
大连路
漕宝路
娄山关路
枫桥路
龙华
陕西南路
宜山路
威宁路
真如
北新泾
上海西站
虹桥2号航站楼
