车站名称,累计距离（km）,站间距离（km）
莘庄,0,－
外环路,1303,1303
莲花路,2762,1459
锦江乐园,4395,1633
上海南站,6484,2089
漕宝路,8145,1661
上海体育馆,9679,1534
徐家汇,10957,1278
衡山路,12430,1473
常熟路,13586,1156
陕西南路,14525,939
黄陂南路,15932,1407
人民广场,17490,1558
新闸路,18410,920
汉中路,19385,975
上海火车站,20184,799
中山北路,21555,1371
延长路,23037,1482
上海马戏城,24033,996
汶水路,25466,1433
彭浦新村,27029,1563
共康路,28426,1397
通河新村,29851,1425
呼兰路,30881,1030
共富新村,32658,1777
宝安公路,34301,1643
友谊西路,35615,1314
富锦路,36889,1274
