车站名称,累计距离（km）,站间距离（km）
金运路,0,-
金沙江西路,,
丰庄,,
祁连山南路,,
真北路,,
大渡河路,,
金沙江路,,
隆德路,,
武宁路,,
长寿路,,
江宁路,,
汉中路,,
自然博物馆,,
南京西路,,
淮海中路,,
新天地,,
马当路,,
世博会博物馆,,
世博大道,,
长清路,,
成山路,,
东明路,,
华鹏路,,
下南路,,
北蔡,,
陈春路,,
莲溪路,,
华夏中路,,
中科路,,
学林路,,
张江路,,
