车站名称,累计距离（km）,站间距离（km）
宜山路,0,-
虹桥路,1323,1323
延安西路,2784,1461
中山公园,3885,1101
金沙江路,5392,1507
曹杨路,6295,903
镇坪路,7668,1373
中潭路,9141,1473
上海火车站,10868,1727
宝山路,12885,2017
海伦路,14428,1543
临平路,15492,1064
大连路,16692,1200
杨树浦路,17514,822
浦东大道,18883,1369
世纪大道,20349,1466
浦电路,21256,907
蓝村路,22578,1322
塘桥,23730,1152
南浦大桥,25893,2163
西藏南路,27101,1208
鲁班路,28503,1402
大木桥路,29815,1312
东安路,30698,883
上海体育场,31918,1220
上海体育馆,32603,685
宜山路,33747,1144
