name,BC
天府广场,0.7298797409805736
春熙路,0.4588344125809436
东门大桥,0.44403330249768735
牛王庙,0.4273820536540241
人民公园,0.40888066604995377
牛市口,0.40888066604995377
通惠门,0.3885291396854764
东大路,0.3885291396854764
中医大省医院,0.36632747456059206
塔子山公园,0.36632747456059206
锦江宾馆,0.3422756706753007
白果林,0.3422756706753007
成都东客站,0.3422756706753007
华西坝,0.31637372802960223
蜀汉路东,0.31637372802960223
成渝立交,0.31637372802960223
省体育馆,0.28862164662349676
一品天下,0.28862164662349676
惠王陵,0.28862164662349676
倪家桥,0.2590194264569843
羊犀立交,0.2590194264569843
洪河,0.2590194264569843
桐梓林,0.22756706753006475
茶店子客运站,0.22756706753006475
成都行政学院,0.22756706753006475
火车南站,0.1942645698427382
迎宾大道,0.1942645698427382
大面铺,0.1942645698427382
骡马市,0.15911193339500462
高新,0.15911193339500462
金科北路,0.15911193339500462
连山坡,0.15911193339500462
文殊院,0.12210915818686402
金融城,0.12210915818686402
金周路,0.12210915818686402
界牌,0.12210915818686402
人民北路,0.08325624421831637
孵化园,0.08325624421831637
百草路,0.08325624421831637
书房,0.08325624421831637
火车北站,0.0425531914893617
锦城广场,0.0425531914893617
天河路,0.0425531914893617
龙平路,0.0425531914893617
升仙湖,0.0
世纪城,0.0
犀浦,0.0
龙泉驿,0.0
